
Name : l7l7l7l7l7 giao dịch với behemoth || Time : 2022-05-07 01:38:24 || Item chuyển : [976 Số lượng : 1;772 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : behemoth giao dịch với l7l7l7l7l7 || Time : 2022-05-07 01:38:24 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[976 Số lượng : 1;772 Số lượng : 1;] Xu nhận :0

Name : leviathan giao dịch với behemoth || Time : 2022-05-07 01:56:36 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 772 Số lượng : 1;  485 Số lượng : 1; ] Xu nhận :0

Name : behemoth giao dịch với leviathan || Time : 2022-05-07 01:56:36 || Item chuyển : [ 772 Số lượng : 1;  485 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : behemoth giao dịch với l7l7l7l7l7 || Time : 2022-05-07 02:02:51 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 552 Số lượng : 1;  553 Số lượng : 1;  554 Số lượng : 1;  557 Số lượng : 1;  556 Số lượng : 1;  555 Số lượng : 1;  316 Số lượng : 1; ] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với behemoth || Time : 2022-05-07 02:02:51 || Item chuyển : [ 552 Số lượng : 1;  553 Số lượng : 1;  554 Số lượng : 1;  557 Số lượng : 1;  556 Số lượng : 1;  555 Số lượng : 1;  316 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : behemoth giao dịch với l7l7l7l7l7 || Time : 2022-05-07 02:03:40 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 375 Số lượng : 1;  377 Số lượng : 1;  378 Số lượng : 1;  379 Số lượng : 1;  380 Số lượng : 1;  540 Số lượng : 1;  540 Số lượng : 1;  540 Số lượng : 1; ] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với behemoth || Time : 2022-05-07 02:03:40 || Item chuyển : [ 375 Số lượng : 1;  377 Số lượng : 1;  378 Số lượng : 1;  379 Số lượng : 1;  380 Số lượng : 1;  540 Số lượng : 1;  540 Số lượng : 1;  540 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : vanhnek giao dịch với l7l7l7l7l7 || Time : 2022-05-07 02:04:14 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 311 Số lượng : 1;  312 Số lượng : 1;  313 Số lượng : 1;  314 Số lượng : 1;  315 Số lượng : 1;  552 Số lượng : 1;  553 Số lượng : 1; ] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với vanhnek || Time : 2022-05-07 02:04:14 || Item chuyển : [ 311 Số lượng : 1;  312 Số lượng : 1;  313 Số lượng : 1;  314 Số lượng : 1;  315 Số lượng : 1;  552 Số lượng : 1;  553 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với vanhnek || Time : 2022-05-07 02:04:39 || Item chuyển : [540 Số lượng : 1;540 Số lượng : 1;554 Số lượng : 1;555 Số lượng : 1;376 Số lượng : 1;557 Số lượng : 1;556 Số lượng : 1;976 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : vanhnek giao dịch với l7l7l7l7l7 || Time : 2022-05-07 02:04:39 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[540 Số lượng : 1;540 Số lượng : 1;554 Số lượng : 1;555 Số lượng : 1;376 Số lượng : 1;557 Số lượng : 1;556 Số lượng : 1;976 Số lượng : 1;] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với vanhnek || Time : 2022-05-07 02:56:12 || Item chuyển : [976 Số lượng : 1;976 Số lượng : 1;309 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : vanhnek giao dịch với l7l7l7l7l7 || Time : 2022-05-07 02:56:12 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[976 Số lượng : 1;976 Số lượng : 1;309 Số lượng : 1;] Xu nhận :0

Name : leviathan giao dịch với trummom || Time : 2022-05-07 03:00:12 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 441 Số lượng : 1;  486 Số lượng : 1;  487 Số lượng : 1;  442 Số lượng : 1; ] Xu nhận :0

Name : trummom giao dịch với leviathan || Time : 2022-05-07 03:00:12 || Item chuyển : [ 441 Số lượng : 1;  486 Số lượng : 1;  487 Số lượng : 1;  442 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : uplangco giao dịch với l7l7l7l7l7 || Time : 2022-05-07 03:03:39 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 967 Số lượng : 36;  772 Số lượng : 1; ] Xu nhận :0

Name : l7l7l7l7l7 giao dịch với uplangco || Time : 2022-05-07 03:03:39 || Item chuyển : [ 967 Số lượng : 36;  772 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : kimlong giao dịch với uplangco || Time : 2022-05-07 03:05:57 || Item chuyển : [967 Số lượng : 37;] Xu giao dịch :0 || Item Nhận :[ 948 Số lượng : 1; ] Xu nhận :0

Name : uplangco giao dịch với kimlong || Time : 2022-05-07 03:05:57 || Item chuyển : [ 948 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[967 Số lượng : 37;] Xu nhận :0

Name : behemoth giao dịch với leviathan || Time : 2022-05-07 03:36:29 || Item chuyển : [553 Số lượng : 1;280 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : leviathan giao dịch với behemoth || Time : 2022-05-07 03:36:29 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[553 Số lượng : 1;280 Số lượng : 1;] Xu nhận :0

Name : leviathan giao dịch với behemoth || Time : 2022-05-07 03:39:38 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 647 Số lượng : 306; ] Xu nhận :0

